pid,rid,verb,verbstem,sentence,ISO3,object,objectcleanpp,objecttype,label1,label2,group
24465,14686,abducted,abduct,"In yet another incident, the terrorists also abducted two civilians from village Morian under the jurisdiction of Manjakote police station.",IND,two civilians from village Morian,civilians village morian,person,civilian,,NA
14759,8611,killed,kill,"Also, the NDFB terrorists killed three civilians and injured another in Kokrajhar district's Runikhata and Bengtol police station limits in two separate incidents, on the same day.",IND,three civilians,civilians,person,civilian,,NA
31380,18749,kidnapped,kidnap,"Meanwhile, suspected NLFT terrorists have kidnapped one civilian from Dingdongpara under Nutunbazar police station in South Tripura district on October 27.",IND,one civilian from Dingdongpara,civilian dingdongpara,person,civilian,,NA
22519,13226,killed,kill,"Further, reports from Pattan said that an unidentified terrorist killed a civilian, who had reportedly functioned as a counter-insurgent a few years ago.",IND,"a civilian , who had reportedly functioned as a counter - insurgent a few years ago",civilian who had reportedly functioned counter insurgent few years ago,person,civilian,,NA
25364,15323,killed,kill,Another civilian was also abducted and later killed by terrorists in the Sopore area of Baramulla district.,IND,Another civilian,civilian,person,civilian,,NA
38571,22602,abducted,abduct,"Meanwhile, a group of terrorists abducted two civilians, Abdul Majid Khan and Shabir Ahmad Reshi alias Tober, from their houses at Lamad-Bernai in the Qazigund area of Anantnag district.",IND,two civilians,civilians,person,civilian,,NA
42186,24750,wounded,wound,"Separately, terrorists shot at and wounded a civilian in his house at Tarabal in the capital Srinagar.",IND,a civilian,civilian,person,civilian,,NA
95599,49312,killed,kill,"Meanwhile, the Tehreek-e-Taliban Pakistan (TTP) claimed responsibility for the attack on the Navy personnel that killed five persons, including two civilians and three officers, and injured eight others.",PAK,"five persons , including two civilians and three officers , and injured eight others.",persons including civilians and officers injured others,person,civilian,,NA
4114,1870,killed,kill,Another civilian was killed by unidentified gunmen in Imphal East district.,IND,Another civilian,civilian,person,civilian,,NA
12284,6996,killed,kill,"In Anantnag district, a civilian was attacked and killed at Newatta by unidentified terrorists.",IND,a civilian,civilian,person,civilian,,NA
71190,37414,injured,injur,Two civilians and a security official were injured when a suicide bomber rammed his explosive-laden vehicle into a fort in Landi Kotal in the Khyber Agency of FATA on March 12. Khyber Rifles Commandant Colonel Furqanullah Khan Tarin told Dawn that the explosion had damaged the western boundary wall of the Charbagh Fort.,PAK,Two civilians and a security official,civilians and security official,person,civilian,,NA
54723,30495,killed,kill,Three civilians were killed in the Wantharamulai area of Batticaloa district on September 7 when their tractor accidentally hit a LTTE planted pressure mine.,LKA,Three civilians,civilians,person,civilian,,NA
3891,1766,attacked,attack,"In another incident, militants attacked and killed one civilian at Nathipura in Sopore.",IND,one civilian at Nathipura in Sopore,civilian,person,civilian,,NA
57169,31557,killed,kill,"On December 4, the Communist Party of India-Maoist (CPI-Maoist) cadres killed three civilians of the Janglagaon government relief camp in the Bijapur district, reports Chhattisgarh.",IND,three civilians of the Janglagaon government relief camp in the Bijapur district,civilians janglagaon government relief camp district,person,civilian,,NA
1480,711,killed,kill,"One civilian was killed in cross firing during an encounter in Kotdara, Rajouri district.",IND,One civilian,civilian,person,civilian,,NA
27880,16777,killed,kill,"Separately, two civilians were killed in the districts of Hetauda and Dhading.",NPL,two civilians,civilians,person,civilian,,NA
51500,28930,injuring,injur,"When it was about to reach the Frontier Corps Fort, an explosion occurred in one of the road rollers, injuring four civilians.",PAK,four civilians,civilians,person,civilian,,NA
9598,4912,killed,kill,They added that the civilian was killed when the weapon of an SF personnel was fired accidentally.,IND,the civilian,civilian,person,civilian,,NA
126955,63040,killing,kill,"Police on April 30 (today) arrested three Police officers for allegedly killing three civilians in Gomarankadawala village in Trincomalee District in 2008, reports Colombo Page.",LKA,three civilians in Gomarankadawala village in Trincomalee District,civilians village district,person,civilian,,NA
56023,31094,killed,kill,"Separately, another civilian, Munnaram Dugga, was killed by the Maoists at Tamuru village in the Narayanpur district.",IND,"another civilian , Munnaram Dugga ,",civilian munnaram dugga,person,civilian,,NA
