system:index,mean,.geo
0,0.82,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.29152924030863,-9.571880362364888]}"
1,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.3635037694112,-9.5932081647871]}"
2,0.94,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.169054116285494,-9.67110021077391]}"
3,0.93,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.24973993495491,-9.575598074872488]}"
4,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.15583543881745,-9.600989191437392]}"
5,0.82,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.32097317073123,-9.626977379407661]}"
6,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.207768300875856,-9.608279183101489]}"
7,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.382960619521775,-9.631263375215573]}"
8,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.38613943979597,-9.617342619394574]}"
9,0.9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.27223690209447,-9.660821388299022]}"
10,0.92,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.25643610975027,-9.68759019651467]}"
11,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.30215665804476,-9.60224894933823]}"
12,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.1985229740868,-9.603388799700928]}"
13,0.32,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.424726902793815,-9.585460667458078]}"
14,0.54,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.39213863886579,-9.577723516486136]}"
15,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.23097105052894,-9.59469326605515]}"
16,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.30463047003922,-9.667780499540651]}"
17,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.26934437516506,-9.590481912094134]}"
18,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.21875717722035,-9.6020542900531]}"
19,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.17158592657846,-9.602670734743201]}"
20,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.208007129527864,-9.594310530873063]}"
21,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.19027867253745,-9.618369944487826]}"
22,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.38963725314793,-9.600313766591523]}"
23,0.9,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.32470987838189,-9.634508530869038]}"
24,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.38384672142681,-9.59339429465038]}"
25,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.359936675091106,-9.586994716184087]}"
26,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.375471751366355,-9.66599701790495]}"
27,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.297615074340854,-9.610603319121223]}"
28,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.37323497961881,-9.663531077828036]}"
29,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.22767988094105,-9.576947142717854]}"
30,0.96,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.33202705798593,-9.578117841522404]}"
31,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.292479358770755,-9.63973426696092]}"
32,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.332363523736475,-9.599995246563296]}"
33,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.24809945447115,-9.593945878378145]}"
34,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.392822912245705,-9.602477700461899]}"
35,0.63,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.164495870411244,-9.584077902448469]}"
36,0.49,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.207930849834966,-9.613953338194307]}"
37,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.40588187346835,-9.630459910221099]}"
38,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.40805064634428,-9.656149117663645]}"
39,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.4069918399086,-9.666732755667365]}"
40,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.384245036593036,-9.630506210968859]}"
41,0.82,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.326826800796596,-9.63162883216712]}"
42,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.23662478777702,-9.664895681235391]}"
43,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.404526118942485,-9.608021152171869]}"
44,0.41,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.32578009548768,-9.621098048176634]}"
45,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.375388265423275,-9.686560621073637]}"
46,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.2639900680607,-9.68485853597433]}"
47,0.77,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.257164958221956,-9.670757498414766]}"
48,0.98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.18644370348462,-9.582681081158698]}"
49,0.03,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.40243328644614,-9.5766686888076]}"
50,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.26103624273878,-9.573623364415326]}"
51,0.82,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.40915582731892,-9.602278661186746]}"
52,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.228146583208854,-9.57178012602104]}"
53,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.17351054654288,-9.628124401792224]}"
54,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.41858654804458,-9.68529377083199]}"
55,0.98,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.41179658501899,-9.664026954281429]}"
56,0.95,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.20562785770649,-9.675596829498657]}"
57,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.15951011446163,-9.587910814310751]}"
58,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.189026933277596,-9.686917709841866]}"
59,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.37497504156844,-9.665245542481934]}"
60,0.81,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.37302690263036,-9.60494718244008]}"
61,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.412129525340994,-9.647084991362282]}"
62,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.15442475741125,-9.691149623314256]}"
63,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.32495419950547,-9.615274070508642]}"
64,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.17995176904685,-9.61206074928668]}"
65,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.34655417694357,-9.59281147334739]}"
66,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.250225097770716,-9.609562852645498]}"
67,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.3942239593213,-9.65216500777147]}"
68,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.160073136915486,-9.590233098138869]}"
69,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.351764995212285,-9.589186187769952]}"
70,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.190493444574436,-9.58135252970835]}"
71,0.76,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.343920069981486,-9.602606402819456]}"
72,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.218277457843016,-9.581621508622366]}"
73,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.34952266776231,-9.634743962409615]}"
74,0.89,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.35800795195768,-9.647015932089522]}"
75,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.38131802899398,-9.635469012047269]}"
76,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.35441432522241,-9.593355371227668]}"
77,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.28910850702194,-9.591986779376782]}"
78,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.18583463774648,-9.668356006564867]}"
79,0.82,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.26821535137344,-9.605556241377778]}"
80,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.15577249584522,-9.650994701612147]}"
81,0.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.32684872553209,-9.642924421025864]}"
82,1.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.206257891689276,-9.681284815105009]}"
83,0.82,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.40607932282042,-9.643344040184648]}"
84,0.97,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.33460365396267,-9.668891213566589]}"
85,0.99,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-63.223779814273286,-9.626469381563611]}"
